Folder,Form,RecordPosition,AuditAction,error
Week 68/F16 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Week 68/F16 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Week 72/F20 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Week 72/F20 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Week 64/F12 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Screening 1,,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Screening 1,,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Screening 1,,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Screening 1,,3.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Medical History (1),,11.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Escape Treatment (1),,4.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Week 64/F12 (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Week 68/F16 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Week 68/F16 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Week 72/F20 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Week 72/F20 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Week 64/F12 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Screening 1,,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Screening 1,,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Screening 1,,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Screening 1,,3.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Medical History (1),,11.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Escape Treatment (1),,4.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Week 64/F12 (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
