SiteID,Country,Region,SiteName,error
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
Study_19_Site 113,PRK,,Site Site 113,nan is not of type 'string'
