TestName,LabCategory,LabDate,IssueType,error
ALB,CHEMISTRY,,Missing Lab name,None is not of type 'string'
ALP,CHEMISTRY,,Missing Lab name,None is not of type 'string'
ALT,CHEMISTRY,,Missing Lab name,None is not of type 'string'
AMYLASE,CHEMISTRY,,Missing Lab name,None is not of type 'string'
AST,CHEMISTRY,,Missing Lab name,None is not of type 'string'
BILDIR,CHEMISTRY,,Missing Lab name,None is not of type 'string'
BILI,CHEMISTRY,,Missing Lab name,None is not of type 'string'
BUN,CHEMISTRY,,Missing Lab name,None is not of type 'string'
CA,CHEMISTRY,,Missing Lab name,None is not of type 'string'
CACALC,CHEMISTRY,,Missing Lab name,None is not of type 'string'
CREAT,CHEMISTRY,,Missing Lab name,None is not of type 'string'
GGT,CHEMISTRY,,Missing Lab name,None is not of type 'string'
GLUCSF,CHEMISTRY,,Missing Lab name,None is not of type 'string'
K,CHEMISTRY,,Missing Lab name,None is not of type 'string'
LDH,CHEMISTRY,,Missing Lab name,None is not of type 'string'
MG,CHEMISTRY,,Missing Lab name,None is not of type 'string'
PHOS,CHEMISTRY,,Missing Lab name,None is not of type 'string'
SODIUM,CHEMISTRY,,Missing Lab name,None is not of type 'string'
BASOLE,HEMATOLOGY,,Missing Lab name,None is not of type 'string'
EOSLE,HEMATOLOGY,,Missing Lab name,None is not of type 'string'
HGB,HEMATOLOGY,,Missing Lab name,None is not of type 'string'
LYM,HEMATOLOGY,,Missing Lab name,None is not of type 'string'
LYMLE,HEMATOLOGY,,Missing Lab name,None is not of type 'string'
MONOLE,HEMATOLOGY,,Missing Lab name,None is not of type 'string'
NEUT,HEMATOLOGY,,Missing Lab name,None is not of type 'string'
NEUTLE,HEMATOLOGY,,Missing Lab name,None is not of type 'string'
PLAT,HEMATOLOGY,,Missing Lab name,None is not of type 'string'
WBC,HEMATOLOGY,,Missing Lab name,None is not of type 'string'
ALT,CHEMISTRY,,Missing Lab name,None is not of type 'string'
AST,CHEMISTRY,,Missing Lab name,None is not of type 'string'
