QueryID,FieldOID,QueryStatus,MarkingGroup,OpenDate,ResponseDate,error
Query_2_6,DVSTDAT,Open,Monitor from DM,2025-10-16,,None is not of type 'string'
Query_2_0,LBDAT,Open,Monitor from DM,2025-11-06,,None is not of type 'string'
Query_2_0,LBDAT,Open,Monitor from DM,2025-11-06,,None is not of type 'string'
Query_2_0,LBDAT,Open,Monitor from DM,2025-11-06,,None is not of type 'string'
Query_2_3,DSSTDAT,Open,Site from Data Manager,2025-11-11,,None is not of type 'string'
Query_2_8,DVSTDAT,Open,Monitor from DM,2025-06-10,,None is not of type 'string'
Query_2_0,DDRESC,Open,Site from System,2025-11-08,,None is not of type 'string'
Query_2_0,DDRESC,Open,Site from Clinical Review,2025-11-10,,None is not of type 'string'
Query_2_4,DSSTDAT,Open,Site from Data Manager,2025-11-11,,None is not of type 'string'
Query_2_3,NUMCY,Open,Monitor from DM,2025-10-29,,None is not of type 'string'
Query_2_0,HCT_LBVALUE,Open,Site from Data Manager,2025-11-07,,None is not of type 'string'
Query_2_4,DSSTDAT,Open,Site from Data Manager,2025-11-11,,None is not of type 'string'
Query_2_5,DSSTDAT,Open,Site from Data Manager,2025-11-11,,None is not of type 'string'
Query_2_4,DSSTDAT,Open,Site from Data Manager,2025-11-11,,None is not of type 'string'
Query_2_0,CMYN,Open,Site from Data Manager,2025-11-11,,None is not of type 'string'
Query_2_0,SSTAT,Open,Site from Clinical Review,2025-11-11,,None is not of type 'string'
Query_2_13,DVSTDAT,Open,Monitor from DM,2025-11-11,,None is not of type 'string'
