QueryID,FieldOID,QueryStatus,MarkingGroup,OpenDate,ResponseDate,trace_id
Query_10_1,MHSTDAT,Answered,Site from Clinical Review,2025-11-09,2025-11-12,4fa49ee212b89822a4db5cf00043d26e66273c51b5c7b2ff09b8bd947dd663c4
Query_10_2,VSRESN,Answered,Site from Clinical Review,2025-11-10,2025-11-12,db951759449b420682b84977430cf205b2d4841991cb4a30871f9550aa871e47
Query_10_0,VSDAT,Answered,Site from Clinical Review,2025-11-10,2025-11-12,1ce8906162c252d3f3a567fa32ab58ce9b1b52944951fde596db9b63f1d37f16
Query_10_2,VSRESN,Answered,Site from Clinical Review,2025-11-10,2025-11-12,2df3789a8deec251121f5d2647ad7f004b5c8290e2fe6a2af3f5aa8385ce40b5
Query_10_0,VSDAT,Answered,Site from Clinical Review,2025-11-10,2025-11-12,d30bb437d2489605919a9cccadd49e720368da13cf9160c4f9a692ba16f612c6
Query_10_0,IEYN,Answered,Site from Clinical Review,2025-11-10,2025-11-12,154257b48a7727d90339c7160fbf2157982d6c2d3ad25084bc46bfa4fbdfb235
Query_10_1,CMINDRV2,Answered,Site from Clinical Review,2025-09-04,2025-09-29,eace44e7c00a1ded99ec2237824c01c140d5d582dc1cda6ff209028dc7c59544
Query_10_1,MHTERM,Answered,Site from Clinical Review,2025-09-03,2025-09-29,2ac3c1f1e6c60cc055aa5daa0bd11f18cbedacd24614d4c902156db057e5db3a
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-07,2025-11-11,170ad7fe69d6a4945143e64548733a9c18ed9e9193e5019ee9952596e5078a7d
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-07,2025-11-07,be98d6d9c0b2d08b8549ac0cf29f37c775fee214c8b6096f9640feee3353d772
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-07,2025-11-11,a1f558564452ce55d425ced01de4cd7892545d19c90c68ef9eaf7b396ab81327
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-09,2025-11-10,2da3e73ea0f700b145c8ce5590be704365ca8c579cfd3966f6cfa413dddd581e
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-11,2025-11-11,c5affd3c8d02304492e479cef30c54419fe5ec6b1b7963be511db4d35d1fa159
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-11,2025-11-12,e3796a31bcd8b0664922d337cc728a2ff9e05dc4579e8d980cb6106ae0661079
Query_10_3,DSSTDAT,Answered,Site from Field Monitor,2025-10-24,2025-11-07,dac6f25543e0c55468a16772be1a9b404271c5932e04b74c37eb9316d8f2a2dd
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-10-21,2025-10-28,0ca1e6537f72cc22e068a4ec761d76569e3e0d6437dc166f75bd87077ca703df
Query_10_0,CMYN,Answered,Site from Clinical Review,2025-09-03,2025-09-09,22d4e9db066749891151729328273342c2fede1241ffc8f78673142ca019ec27
